bigram,n,total_sentiment
love realistic,19,positive
mighty fine,19,positive
negative recommendation,19,positive
powerful magic,19,positive
pretty excellent,19,positive
pretty helpful,19,positive
significant advantage,19,positive
smooth fast,19,positive
super awsome,19,positive
super responsive,19,positive
utterly beautiful,19,positive
wonderful beautiful,19,positive
wonderfully fun,19,positive
amazing fantastic,18,positive
brutal fast,18,positive
damn enjoyable,18,positive
dead easy,18,positive
dies instantly,18,positive
fans rejoice,18,positive
fantastic beautiful,18,positive
fantastic love,18,positive
favorite super,18,positive
free gold,18,positive
free trust,18,positive
fun fantastic,18,positive
funny clever,18,positive
funny cute,18,positive
grand master,18,positive
hate love,18,positive
horde survival,18,positive
humor fun,18,positive
incredibly responsive,18,positive
nice improvements,18,positive
nice refreshing,18,positive
overwhelming positive,18,positive
perfect harmony,18,positive
pretty charming,18,positive
pretty consistent,18,positive
pretty intriguing,18,positive
pretty spectacular,18,positive
pros pros,18,positive
pure classic,18,positive
ridiculously powerful,18,positive
sad happy,18,positive
super helpful,18,positive
super heros,18,positive
tentatively recommend,18,positive
terrible support,18,positive
top fun,18,positive
unexpected gem,18,positive
unexpectedly fun,18,positive
addicting awesome,17,positive
amazingly entertaining,17,positive
amazingly realistic,17,positive
brutal fun,17,positive
challenging worth,17,positive
cheap easy,17,positive
classic masterpiece,17,positive
cons easy,17,positive
cool awesome,17,positive
defiantly recommend,17,positive
enjoyable worth,17,positive
excellent fast,17,positive
excellent variety,17,positive
fairly impressive,17,positive
fairly strong,17,positive
fantastic fast,17,positive
fantastic humor,17,positive
fast easy,17,positive
favorite classic,17,positive
flawless victory,17,positive
frustrating fun,17,positive
fun balanced,17,positive
fun decent,17,positive
fun excellent,17,positive
fun gorgeous,17,positive
fun humor,17,positive
goofy fun,17,positive
hard achievements,17,positive
hard survival,17,positive
incredibly cool,17,positive
insultingly easy,17,positive
intense fast,17,positive
lacking variety,17,positive
modern masterpiece,17,positive
nice fresh,17,positive
oddly fun,17,positive
perfect love,17,positive
pretty popular,17,positive
pretty refreshing,17,positive
properly balanced,17,positive
rewarding skill,17,positive
stale fast,17,positive
stupid humor,17,positive
super tough,17,positive
tremendously fun,17,positive
unlimited fun,17,positive
amazing feat,16,positive
amazing humor,16,positive
amazing skill,16,positive
amazing super,16,positive
amazingly satisfying,16,positive
awesome beautiful,16,positive
awesome loved,16,positive
awesome realistic,16,positive
awsome fun,16,positive
bad support,16,positive
cheap thrill,16,positive
classic gem,16,positive
crushing defeat,16,positive
decent survival,16,positive
easy fast,16,positive
enjoy realistic,16,positive
enjoyable easy,16,positive
enjoyable pros,16,positive
entertaining fun,16,positive
fantastic classic,16,positive
free win,16,positive
free worth,16,positive
fun charming,16,positive
fun satisfying,16,positive
fun wow,16,positive
funny cool,16,positive
hard fast,16,positive
immense fun,16,positive
incredibly creative,16,positive
incredibly cute,16,positive
incredibly dynamic,16,positive
incredibly happy,16,positive
incredibly impressed,16,positive
incredibly nice,16,positive
limited free,16,positive
nice love,16,positive
nice realistic,16,positive
nice solid,16,positive
plot nice,16,positive
pretty responsive,16,positive
proper support,16,positive
pros enjoyable,16,positive
pros wonderful,16,positive
rough gem,16,positive
solid survival,16,positive
super sexy,16,positive
trivially easy,16,positive
wonderful fun,16,positive
zombie hero,16,positive
amazing easy,15,positive
apocalypse survival,15,positive
awesome recommended,15,positive
beautiful stunning,15,positive
brilliant brilliant,15,positive
bug wise,15,positive
challenging engaging,15,positive
cheesy humor,15,positive
classic super,15,positive
crash free,15,positive
fairly fresh,15,positive
fantastic survival,15,positive
finely polished,15,positive
frantic fun,15,positive
free advanced,15,positive
fresh fun,15,positive
fun glad,15,positive
funny creative,15,positive
funny entertaining,15,positive
gold gain,15,positive
happy happy,15,positive
hassle free,15,positive
incredibly helpful,15,positive
incredibly tough,15,positive
joy joy,15,positive
nice cute,15,positive
perfect pros,15,positive
polished gem,15,positive
pretty beautiful,15,positive
pretty clean,15,positive
pretty friendly,15,positive
pretty handy,15,positive
pretty pleased,15,positive
pretty safe,15,positive
pretty stellar,15,positive
properly enjoy,15,positive
pros superb,15,positive
recommend supporting,15,positive
recommended pros,15,positive
skill wise,15,positive
struck gold,15,positive
super entertaining,15,positive
super exciting,15,positive
super impressive,15,positive
top top,15,positive
worst free,15,positive
worth free,15,positive
amazing realistic,14,positive
amazingly awesome,14,positive
awesome fantastic,14,positive
awesome pretty,14,positive
bad free,14,positive
challenging easy,14,positive
classic worth,14,positive
cons free,14,positive
cool love,14,positive
cool magic,14,positive
difficult achievements,14,positive
difficult fast,14,positive
difficulty pretty,14,positive
easy perfect,14,positive
enjoy free,14,positive
exciting fun,14,positive
fairly tough,14,positive
fantastic free,14,positive
freaking sweet,14,positive
free reward,14,positive
gorgeous fun,14,positive
hot sexy,14,positive
idle master,14,positive
incredible variety,14,positive
incredibly clever,14,positive
insanely powerful,14,positive
masterpiece worth,14,positive
nice balanced,14,positive
nice calm,14,positive
nice humour,14,positive
painfully easy,14,positive
pretty catchy,14,positive
pretty lucky,14,positive
pretty significant,14,positive
pretty steady,14,positive
pros engaging,14,positive
pros lovely,14,positive
recommend pros,14,positive
significant progress,14,positive
smooth easy,14,positive
stale pretty,14,positive
super accurate,14,positive
super advanced,14,positive
super rich,14,positive
survival fans,14,positive
terribly easy,14,positive
top humor,14,positive
violent fun,14,positive
wonderful masterpiece,14,positive
wonderful wonderful,14,positive
absurdly fun,13,positive
addicting easy,13,positive
amazing achievement,13,positive
amazing gem,13,positive
annoying pretty,13,positive
award winner,13,positive
awesome humor,13,positive
awesome pure,13,positive
awsome awsome,13,positive
beautifully polished,13,positive
brainless fun,13,positive
brilliantly fun,13,positive
challenging beautiful,13,positive
cheat protection,13,positive
consistently fun,13,positive
cool skill,13,positive
crashes instantly,13,positive
crazy cool,13,positive
damn hero,13,positive
difficult survival,13,positive
downhill fast,13,positive
enemies fun,13,positive
enemies pretty,13,positive
enjoyed pretty,13,positive
enjoys fast,13,positive
evil fans,13,positive
fairly confident,13,positive
fairly intelligent,13,positive
false positive,13,positive
fast smooth,13,positive
faster stronger,13,positive
frantic fast,13,positive
freaking fantastic,13,positive
freaking loved,13,positive
friendly fun,13,positive
friggin love,13,positive
fun humorous,13,positive
fun polished,13,positive
funny worth,13,positive
gain gold,13,positive
golden glow,13,positive
gritty survival,13,positive
hard super,13,positive
hard won,13,positive
hell worth,13,positive
incredible beautiful,13,positive
incredibly balanced,13,positive
incredibly excited,13,positive
incredibly smart,13,positive
insanely beautiful,13,positive
issues pros,13,positive
killed pretty,13,positive
likes classic,13,positive
limited skill,13,positive
masterpiece pros,13,positive
monster variety,13,positive
nice achievements,13,positive
nice calming,13,positive
nice polished,13,positive
nice shiny,13,positive
perfectly enjoyable,13,positive
pretty advanced,13,positive
pretty effective,13,positive
pretty generous,13,positive
pros innovative,13,positive
quiet fun,13,positive
solid peace,13,positive
stunning beautiful,13,positive
warm glow,13,positive
win easy,13,positive
wow awesome,13,positive
achievement progress,12,positive
addicting worth,12,positive
amazingly easy,12,positive
awesome cool,12,positive
bad worth,12,positive
balanced perfectly,12,positive
beautiful awesome,12,positive
beautiful engaging,12,positive
beautiful gem,12,positive
charming fun,12,positive
cheap worth,12,positive
classic grand,12,positive
cons fairly,12,positive
decent humor,12,positive
decent skill,12,positive
difficulty nice,12,positive
easy victory,12,positive
enemies awesome,12,positive
enjoy magic,12,positive
enjoys survival,12,positive
excellent support,12,positive
fairly consistent,12,positive
fairly stable,12,positive
fantastic amazing,12,positive
free awesome,12,positive
fun dynamic,12,positive
fun perfect,12,positive
fun pure,12,positive
funny charming,12,positive
funny fast,12,positive
golden grin,12,positive
incredibly accurate,12,positive
incredibly impressive,12,positive
insanely popular,12,positive
kill fast,12,positive
love grand,12,positive
love top,12,positive
magic fans,12,positive
master fun,12,positive
nice bonuses,12,positive
nice modern,12,positive
nice pretty,12,positive
nice relaxed,12,positive
nice warm,12,positive
oddly charming,12,positive
oddly entertaining,12,positive
offensive humor,12,positive
peace loving,12,positive
perfectly capable,12,positive
perfectly understandable,12,positive
positives fun,12,positive
pretty expansive,12,positive
pretty memorable,12,positive
pretty perfect,12,positive
pretty sharp,12,positive
pros balanced,12,positive
pros classic,12,positive
pure beauty,12,positive
pure brilliance,12,positive
pure gem,12,positive
remarkably fun,12,positive
ridiculously awesome,12,positive
risk free,12,positive
sarcastic humor,12,positive
silly humour,12,positive
smooth nice,12,positive
solid classic,12,positive
strangely fun,12,positive
strong recommend,12,positive
super adorable,12,positive
super balanced,12,positive
super catchy,12,positive
super recommended,12,positive
super slick,12,positive
terribly balanced,12,positive
utterly charming,12,positive
won awards,12,positive
wonderful classic,12,positive
wonderful homage,12,positive
worthy spiritual,12,positive
zombie fun,12,positive
achievements easy,11,positive
amazing cool,11,positive
amazing top,11,positive
amazingly smooth,11,positive
awesome easy,11,positive
awesome perfect,11,positive
awesome skill,11,positive
awesome top,11,positive
bad humor,11,positive
bad trust,11,positive
balanced properly,11,positive
beautiful charming,11,positive
beautiful wonderful,11,positive
bugs pros,11,positive
clean crisp,11,positive
clever fun,11,positive
colorful fun,11,positive
cooperative survival,11,positive
crude humour,11,positive
decent top,11,positive
decisive victory,11,positive
disappointed pros,11,positive
distinctive golden,11,positive
doubt recommend,11,positive
dull pretty,11,positive
dumb humor,11,positive
easy wins,11,positive
enemies fast,11,positive
enemies faster,11,positive
extraordinarily fun,11,positive
fairly cool,11,positive
fairly robust,11,positive
fairly smoothly,11,positive
false positives,11,positive
fans happy,11,positive
fans pros,11,positive
fantastic pros,11,positive
fine fun,11,positive
free hero,11,positive
free nice,11,positive
frustrating fast,11,positive
fun amusing,11,positive
fun fairly,11,positive
fun happy,11,positive
fun innovative,11,positive
fun responsive,11,positive
funny beautiful,11,positive
gain bonuses,11,positive
gain reputation,11,positive
gain skill,11,positive
glorious victory,11,positive
hard pretty,11,positive
hesitant recommendation,11,positive
holy wow,11,positive
incredible feat,11,positive
incredibly innovative,11,positive
incredibly refreshing,11,positive
killed fast,11,positive
love super,11,positive
loves survival,11,positive
modern survival,11,positive
mystery intrigue,11,positive
nice cool,11,positive
nice neat,11,positive
nice worth,11,positive
passive bonus,11,positive
patience skill,11,positive
plot amazing,11,positive
positive fun,11,positive
positives amazing,11,positive
pretty free,11,positive
pretty sexy,11,positive
pretty stunning,11,positive
pros creative,11,positive
pros love,11,positive
pros rich,11,positive
pros strong,11,positive
pros variety,11,positive
skill luck,11,positive
slowly gain,11,positive
smooth beautiful,11,positive
solid fast,11,positive
super charming,11,positive
super engaging,11,positive
super glad,11,positive
super smoothly,11,positive
support dedicated,11,positive
support easy,11,positive
waste precious,11,positive
worst support,11,positive
wow cute,11,positive
zombie survivor,11,positive
addicting amazing,10,positive
amazing excellent,10,positive
amazing improvement,10,positive
amazing incredible,10,positive
amazing smooth,10,positive
amazing support,10,positive
amazing wonderful,10,positive
amazingly enjoyable,10,positive
attack faster,10,positive
attack skill,10,positive
awesome variety,10,positive
awsome love,10,positive
bad fun,10,positive
balanced easy,10,positive
beautiful colorful,10,positive
beautiful smooth,10,positive
blind survival,10,positive
bored fairly,10,positive
boring pros,10,positive
brilliant love,10,positive
bugs worth,10,positive
challenging nice,10,positive
challenging pretty,10,positive
challenging recommended,10,positive
childish humor,10,positive
classic free,10,positive
cool super,10,positive
crashes fairly,10,positive
cute nice,10,positive
damn masterpiece,10,positive
damn refund,10,positive
damned fun,10,positive
died pretty,10,positive
dungeon defender,10,positive
easy pros,10,positive
easy worth,10,positive
enemies cool,10,positive
enemies stronger,10,positive
enjoy beautiful,10,positive
enjoy nice,10,positive
enjoyable fast,10,positive
enjoyable nice,10,positive
enjoys fun,10,positive
entertaining fast,10,positive
fairly faithful,10,positive
fairly polished,10,positive
fast pros,10,positive
fast responsive,10,positive
fine fine,10,positive
freaking hilarious,10,positive
free achievements,10,positive
free amazing,10,positive
free bonus,10,positive
free enjoy,10,positive
free magic,10,positive
fresh breeze,10,positive
friggin amazing,10,positive
fun enjoyed,10,positive
fun fresh,10,positive
fun smart,10,positive
fun thrilling,10,positive
fun tough,10,positive
fun winning,10,positive
gain advantages,10,positive
gem worth,10,positive
glitches galore,10,positive
grind faster,10,positive
hard amazing,10,positive
hard love,10,positive
hard worth,10,positive
honest fun,10,positive
humor awesome,10,positive
humor nice,10,positive
incredible amazing,10,positive
incredibly friendly,10,positive
incredibly hilarious,10,positive
incredibly intuitive,10,positive
incredibly smoothly,10,positive
killer survivor,10,positive
likes realistic,10,positive
love pretty,10,positive
nice gem,10,positive
perfect fun,10,positive
plot pretty,10,positive
poor luck,10,positive
popular support,10,positive
pretty consistently,10,positive
pretty faithful,10,positive
pretty fresh,10,positive
pretty humorous,10,positive
pretty positive,10,positive
pretty top,10,positive
pros beautifully,10,positive
pros hilarious,10,positive
pros improved,10,positive
pros neat,10,positive
rail fans,10,positive
recommend fun,10,positive
resounding success,10,positive
rewarding fun,10,positive
ridiculously strong,10,positive
rot victory,10,positive
slow fast,10,positive
solid polished,10,positive
solid variety,10,positive
stupidly fast,10,positive
super hilarious,10,positive
super worth,10,positive
tank top,10,positive
terribly exciting,10,positive
terribly fun,10,positive
unbelievably amazing,10,positive
unlimited freedom,10,positive
utterly awesome,10,positive
utterly gorgeous,10,positive
wasting precious,10,positive
win awards,10,positive
witty humour,10,positive
worst survival,10,positive
wrong pros,10,positive
zombie lover,10,positive
absurdly easy,9,positive
achievement wise,9,positive
achievements pros,9,positive
achievements worth,9,positive
amazing competitive,9,positive
amazing hilarious,9,positive
amazing pretty,9,positive
amazingly amazing,9,positive
amazingly polished,9,positive
assault support,9,positive
awesome humour,9,positive
awesomely awesome,9,positive
bad easy,9,positive
bad rockstar,9,positive
beautiful clever,9,positive
beautiful enjoyable,9,positive
beautiful fast,9,positive
beautiful gorgeous,9,positive
beautiful peaceful,9,positive
beautiful thoughtful,9,positive
beautifully smooth,9,positive
bloody hilarious,9,positive
boring easy,9,positive
brilliant beautiful,9,positive
brilliant masterpiece,9,positive
challenging awesome,9,positive
challenging satisfying,9,positive
classic love,9,positive
clever humor,9,positive
competitive fun,9,positive
complex easy,9,positive
cool realistic,9,positive
cool worth,9,positive
crash happy,9,positive
crashes consistently,9,positive
crass humor,9,positive
creative genius,9,positive
cry fans,9,positive
cute pretty,9,positive
damn fantastic,9,positive
damn glad,9,positive
dark mature,9,positive
dead fans,9,positive
deadly accurate,9,positive
die easy,9,positive
difficult easy,9,positive
enemies variety,9,positive
enjoy awesome,9,positive
enjoy grand,9,positive
enjoy top,9,positive
enjoyable survival,9,positive
enjoyable top,9,positive
excellent classic,9,positive
exceptionally easy,9,positive
exciting fast,9,positive
expansive skill,9,positive
fairly amusing,9,positive
fairly modern,9,positive
fantastic fantastic,9,positive
fantastic super,9,positive
freaking incredible,9,positive
free fast,9,positive
free ideal,9,positive
free pretty,9,positive
fun bonus,9,positive
fun brilliant,9,positive
fun fair,9,positive
fun intuitive,9,positive
fun modern,9,positive
fun neat,9,positive
funny amazing,9,positive
funny awesome,9,positive
gain advantage,9,positive
golden classic,9,positive
guilt free,9,positive
hard nice,9,positive
ideal master,9,positive
impossible achievements,9,positive
incredibly adorable,9,positive
incredibly captivating,9,positive
incredibly engrossing,9,positive
incredibly faithful,9,positive
incredibly precise,9,positive
incredibly pretty,9,positive
innovative fun,9,positive
insanely amazing,9,positive
instantly heal,9,positive
kill pretty,9,positive
lack patience,9,positive
lose patience,9,positive
lost pretty,9,positive
love achievements,9,positive
love fun,9,positive
love modern,9,positive
loved loved,9,positive
loved super,9,positive
marvel hero,9,positive
marvel heros,9,positive
negatives positives,9,positive
nice boost,9,positive
nice quiet,9,positive
